property_name,prop_location,number_of_rooms,prop_bathrooms,sale_price OMR,prop_area SqM,Ad_Type
شقة فاخرة بغرفتين للبيع في جبل سيفة – إطلالة ساحرة وفرصة استثمارية,"Al Sifah, Muscat•",2,2,82000,110,For Sale
Modern Villa for Sale in Sultan Haitham City,"Sultan Haitham City, Muscat•",5,5,227000,400,For Sale
Townhouse for Sale - تاون هاوس للبيع,"Sultan Haitham City, Muscat•",3,5,184000,120,For Sale
Villa for Sale with Garden - فيلا للبيع,"Sultan Haitham City, Muscat•",3,5,161000,120,For Sale
Villa for Sale - فيلا للبيع,"Sultan Haitham City, Muscat•",3,5,160000,120,For Sale
Pent house for Sale with Pool,"Sultan Haitham City, Muscat•",3,5,158000,120,For Sale
Apartment for Sale in Wadi Zaha - شقة للبيع,"Sultan Haitham City, Muscat•",3,5,114000,110,For Sale
Apartment for Sale in Wadi Zaha - شقة للبيع,"Sultan Haitham City, Muscat•",3,5,109000,110,For Sale
Apartment for Sale in Wadi Zaha - شقة للبيع,"Sultan Haitham City, Muscat•",2,3,86000,90,For Sale
1 BHK flat for sale in Al Khuwair (Jasmine Complex ),"Al Khuwair, Muscat•",1,2,46000,86,For Sale
Apartment for Sale in Wadi Zaha - شقة للبيع,"Sultan Haitham City, Muscat•",2,3,82000,90,For Sale
3 BR AMAZING TOWNHOUSE IN ALMOUJ REEHAN RESIDENCES,"The Wave (Almouj), Muscat•",3,3,320000,265,For Sale
3 Br LOVELY TOWNHOUSE in AL MOUJ FOR SALE,"The Wave (Almouj), Muscat•",3,3,190000,168,For Sale
Apartment for Sale in Wadi Zaha - شقة للبيع,"Sultan Haitham City, Muscat•",2,3,81000,70,For Sale
Apartment for Sale in Wadi Zaha - شقة للبيع,"Sultan Haitham City, Muscat•",1,2,63000,70,For Sale
Apartment for Sale in Wadi Zaha - شقة للبيع,"Sultan Haitham City, Muscat•",1,2,61000,70,For Sale
Apartment for Sale in Wadi Zaha - شقة للبيع,"Sultan Haitham City, Muscat•",1,2,58000,70,For Sale
"For Sale Free Hold (1 & 2 & 3 Bhk) in Marsa District, Al Mouj Muscat","The Wave (Almouj), Muscat•",1,2,78000,70,For Sale
"Apartment for Sale in Muscat Hills, Off Plan, Prime Location","Muscat Hills, Muscat•",2,3,24000,145,For Sale
"Villa For Sale in Muscat Hills, 6 Bedrooms, Golf View, ITC","Muscat Hills, Muscat•",5,6,499000,1,For Sale
For Sale: Free Hold studios apartment at Opal Residence,"Muscat Hills, Muscat•",1,1,46000,49,For Sale
GHALA | 2738 SQM RESIDENTIAL/ COMMERCIAL LAND FOR SALE,"Ghala, Muscat•",3,3,785000,2,For Sale
عرض لایقاوم | محل تجاری للبیع | موقع استراتيجي | عائد استثماری مضمون,"Al Mawaleh, Muscat•",3,3,47000,47,For Sale
luxury villa | 5-BR | pool | free hold | mouj muscat,"The Wave (Almouj), Muscat•",5,6,517000,540,For Sale
أزورا بيتش – شقة 1BR بإطلالة مباشرة على المرسى,"The Wave (Almouj), Muscat•",1,1,119000,83,For Sale
2 BR Furnished Apartment Overlooking the Pool & Garden | Al Mouj,"The Wave (Almouj), Muscat•",2,2,140000,150,For Sale
6 BR Spacious Furnished Commercial Villa with Amenities Nearby in Seeb,"Al Seeb, Muscat•",6,6,125000,363,For Sale
173 SQM Freehold Ground Floor Shop – Muscat Hills,"Muscat Hills, Muscat•",3,3,311000,173,For Sale
1 BR Furnished Apartment with Balcony – Marriott Residences AIDA,"Yiti, Muscat•",1,2,184000,96,For Sale
"1 BR Impressive Townhouse in Hawana Salalah Resort, Forrest Island","Salalah, Dhofar•",1,2,65000,78,For Sale
3 BR Offplan Apartment in Bousher,"Bosher, Muscat•",3,3,80000,137,For Sale
2 BR Freehold Apartment with Shared Pool & Gym – Muscat Hills,"Muscat Hills, Muscat•",2,2,75000,80,For Sale
FREEHOLD 247 SQM Office Space Located in Muscat Hills for SALE!,"Muscat Hills, Muscat•",3,3,245000,247,For Sale
FREEHOLD 109 SQM Office Space Available in Muscat Hills for SALE!,"Muscat Hills, Muscat•",3,3,125000,108,For Sale
Beautiful 1 Bed Loft in Uptown Muscat with Swimming pool.,"Muscat - Other, Muscat•",1,1,43000,42,For Sale
6 Bedroom Villa For Sale In Almouj Muscat,"The Wave (Almouj), Muscat•",6,10,1000,900,For Sale
1BR Marina View – Azura Beach | 83m² | OMR 119K | 10% Down Payment,"The Wave (Almouj), Muscat•",1,1,119000,83,For Sale
Stylish 1BR in Azura Beach – Urban View | 83m² | OMR 107K | 10% DP,"The Wave (Almouj), Muscat•",1,1,107000,83,For Sale
1BR Marina View | Azura Beach – Al Mouj | OMR 115K | Flexible Payment,"The Wave (Almouj), Muscat•",1,1,115000,83,For Sale
Villa for Sale  in Sultah Haitham City,"Al Maabilah, Muscat•",5,5,178000,249,For Sale
Villa for Sale with 3 Bedrooms in Sultan Haitham City,"Al Maabilah, Muscat•",3,3,169000,210,For Sale
Apartment for Sale with 3 Bedrooms in Muscat Bay,"Qantab, Muscat•",3,4,187000,171,For Sale
Apartment for Sale with 3 Bedrooms in Muscat Bay,"Qantab, Muscat•",3,4,187000,175,For Sale
Apartment for Sale with 3 Bedrooms in Muscat Bay,"Qantab, Muscat•",3,4,178000,170,For Sale
Apartment for Sale in Muscat Bay with 3 Bedroom,"Qantab, Muscat•",3,4,185000,165,For Sale
Villa for Sale in Jabal Sifa with 2 Bedrooms,"Al Sifah, Muscat•",2,3,162000,175,For Sale
Villa for Sale with 2 Bedrooms in Jabal Al Sifa,"Al Sifah, Muscat•",2,3,162000,157,For Sale
ready to move in for 2+1 apartment in Muscat Bay,"Qantab, Muscat•",2,3,200000,200,For Sale
Apartment for Sale with 2 Bedrooms,"Qantab, Muscat•",2,3,133000,133,For Sale
Apartment for Sale with 2 Bedrooms in Muscat Bay,"Qantab, Muscat•",2,3,135000,133,For Sale
Studio for Sale in Sultan Hatiham City,"Al Maabilah, Muscat•",3,1,46000,71,For Sale
Apartment for Sale in Jabal Al Sifa with 2 BHK,"Al Sifah, Muscat•",2,2,96000,85,For Sale
Villa for Sale in Jabal Al Sifa with 4 Bedrooms,"Al Sifah, Muscat•",3,4,183000,183,For Sale
Apartment for sale 2BHK in sultan Haitham City,"Al Maabilah, Muscat•",2,2,98000,157,For Sale
6 bedroom villa for sale in Almouj Muscat,"The Wave (Almouj), Muscat•",6,7,725000,606,For Sale
3 bedroom Challet for Sale in Jebel Sifa,"Yiti, Muscat•",3,4,183000,183,For Sale
three bedroom apartment for sale in sultan haitham city,"Al Maabilah, Muscat•",3,3,120000,193,For Sale
1 bedroom Apartment for Sale in Sultan Haitham City,"Al Maabilah, Muscat•",1,1,59000,95,For Sale
للبيع أرض سكنية – موقع مميز بالخوض السادسة,"Al Khoud, Muscat•",3,3,95000,600,For Sale
أرض س ت كورنر مفتوحة من أربع جهات – موقع نادر في محمد الأمين بوشر,"Bosher, Muscat•",3,3,600000,1,For Sale
"1BR Marina View | Azura Beach – Al Mouj | 83m² | OMR 111,000 | 10% DP","The Wave (Almouj), Muscat•",1,1,111000,83,For Sale
"1BR | Urban View – Azura Beach, Al Mouj | OMR 112K | 10% DP Only","The Wave (Almouj), Muscat•",1,1,112000,83,For Sale
Villa for Saleفيلا للبيع,"Barka, Al Batinah•",3,4,49000,345,For Sale
شقة للبيع في بناية ذا لينكس في مسقط هيلز- Apartment for Sale the links,"Muscat Hills, Muscat•",2,3,72000,108,For Sale
For Sale 4 Bhk In Al Azaiba للبيع فيلا ٤ غرف نوم في العذيبة,"Azaiba, Muscat•",4,6,135000,284,For Sale
6 BR + Guard’s Room Spacious Villa in Mawaleh – Near Al Sahwa Gardens,"Al Mawaleh, Muscat•",6,7,140000,600,For Sale
2 BR + Maid’s Room Stunning Apartment – Muscat Bay with Amenities,"Qantab, Muscat•",2,3,220000,199,For Sale
5 BR Fantastic Villa – Al Khoudh Phase 6 with Nearby Amenities,"Al Khoud, Muscat•",5,5,90000,293,For Sale
"2 BR Luxury Apartment – The Great Escape, AIDA by DarGlobal","Yiti, Muscat•",2,2,136000,93,For Sale
"1 BR Luxury Apartment – The Great Escape, AIDA by DarGlobal","Yiti, Muscat•",1,2,95000,68,For Sale
79 SQM Freehold Office in Muscat Hills – Prime Location,"Muscat Hills, Muscat•",3,3,91000,79,For Sale
2 BR Great Freehold Apartment with a balcony - Sultan Haitham City,"Al Maabilah, Muscat•",2,2,80000,132,For Sale
2 BR Excellent Penthouse Apartment in Sultan Haitham City with Private,"Al Maabilah, Muscat•",2,3,110000,170,For Sale
3 BR + Maid’s room Freehold Offplan Apartment in Sohar,"Sohar, Al Batinah•",3,4,65000,135,For Sale
Studio Apartment in Sultan Haitham City,"Al Maabilah, Muscat•",1,1,37000,50,For Sale
3 BR Off Plan Apartment in Ghala,"Ghala, Muscat•",3,3,66000,167,For Sale
2 BR Off Plan Modern Apartment in Ghala,"Ghala, Muscat•",2,2,50000,125,For Sale
3 + 1 BR Freehold Apartment in Sultan Haitham City – Hay Al Wafaa,"Al Maabilah, Muscat•",3,3,108000,154,For Sale
2 + 1 BR Apartment in Sultan Haitham City–Freehold Unit with Residency,"Al Maabilah, Muscat•",2,3,74000,109,For Sale
5 BR Amazing Freehold Exclusive Villa in Al Mouj for Sale,"The Wave (Almouj), Muscat•",5,5,670000,455,For Sale
6 BR Stunning Grand Freehold Villa in Al Mouj for Sale,"The Wave (Almouj), Muscat•",6,6,950000,907,For Sale
6 + 1 Maid’s Room Freehold Luxurious Off-plan Villa in Al Mouj,"The Wave (Almouj), Muscat•",6,6,1000,933,For Sale
5-Star Freehold Hotel Room with Guaranteed Return on Investment,"Barr Al Jissah, Muscat•",1,1,167000,43,For Sale
1 BR Amazing Freehold Fully Furnished Apartment in Jebel Sifa,"Al Sifah, Muscat•",1,2,73000,90,For Sale
2 + 1 BR Furnished Freehold Apartment in Jebel Sifah,"Al Sifah, Muscat•",2,3,110000,121,For Sale
15 BR Commercial Use Villa for Sale – Mawaleh,"Al Mawaleh, Muscat•",12,12,370000,711,For Sale
2 BR + Study Room Freehold Apartment in Al Mouj for Sale,"The Wave (Almouj), Muscat•",2,2,160000,127,For Sale
1 BR Large Flat in Muscat Hills for Sale – Freehold Ready,"Muscat Hills, Muscat•",1,1,71000,108,For Sale
EXTRAORIDNARY OFFER!  4 BR  Villa In Muscat Bay with Private Pool,"Qantab, Muscat•",4,5,456000,498,For Sale
1 BR Fully Furnished Freehold Apartment in Sifah For Sale,"Al Sifah, Muscat•",1,1,63000,77,For Sale
1 BR Spacious Freehold Flat For Sale – Muscat Hills,"Muscat Hills, Muscat•",1,1,75000,115,For Sale
2 BR Freehold Corner Apartment in Muscat Hills,"Muscat Hills, Muscat•",2,2,81000,123,For Sale
3 BR + 1 Maid’s Room Freehold Courtyard Villa in Al Mouj,"The Wave (Almouj), Muscat•",3,4,300000,247,For Sale
2 BR One of a Kind Duplex Freehold Apartment in Sifah For Sale,"Al Sifah, Muscat•",2,3,125000,129,For Sale
Courtyard Villa 3+1 BHK | 7 years Installments |فيلا استثنائية في ييتي,"Yiti, Muscat•",3,5,274000,253,For Sale
1 BR Stunning Freehold Apartment in Al Mouj with Amenities,"The Wave (Almouj), Muscat•",1,1,99000,70,For Sale
2 Bedroom Apartment for Sale In Almouj Muscat,"The Wave (Almouj), Muscat•",2,2,143000,137,For Sale
قطعة تملك حر نادرة في مرتفعات المطار – سوبر كورنر,"Bosher, Muscat•",3,3,750000,5,For Sale
أرض سكني تجاري نادرة – أول خط شارع 18 نوفمبر – الغبرة الشمالية,"Al Ghubrah, Muscat•",3,3,8000,24,For Sale
1 BR Freehold Elegant Townhouse – Hawana Salalah,"Salalah, Dhofar•",1,2,65000,77,For Sale
GHALA | 2738 SQM WAREHOUSE WITH STAFF ACCOMMODATION,"Ghala, Muscat•",3,3,785000,2,For Sale
مطلوب فلل مباشرة من المالک |Free sales advertising,"The Wave (Almouj), Muscat•",4,5,1000,600,For Sale
GHALA | 2738 SQM WAREHOUSE WITH STAFF ACCOMODATION FOR SALE,"Ghala, Muscat•",3,3,800000,2,For Sale
محلات مؤجره لأقوى البراندات وبعائد قوي جدا في بازار صحار,"Sohar, Al Batinah•",3,3,42000,35,For Sale
فرصتك الأخيرة لامتلاك شقة بإطلالة مارينا في الموج مسقط,"The Wave (Almouj), Muscat•",1,1,91000,72,For Sale
New project| Apartment for sale|muscat hills |freehold | installments,"Muscat Hills, Muscat•",3,1,47000,49,For Sale
عرض خاص | استثمار مربح | شقه واسعة للبیع | اقامة دائمة سلطنة عمان,"The Wave (Almouj), Muscat•",1,1,115000,159,For Sale
Boulevard View | Terrace | Flexible Payment Plan | Hay Alwafa,"Sultan Haitham City, Muscat•",1,2,57000,72,For Sale
Luxurious 2BR+Study| Waterfront Living| Payment Plan| Bellevue,"Muscat - Other, Muscat•",2,3,363000,132,For Sale
Waterfront Living | Payment Plan | Spacious 2BR in Bellevue,"Muscat - Other, Muscat•",2,3,159000,122,For Sale
"Luxury Waterfront Living | World-Class Amenities | Bellevue,","Muscat - Other, Muscat•",1,2,116000,81,For Sale
"شقة للبيع تجهز خلال شهرين خلف بانوراما مول ,خيار مثالي للاستثمار","Al Ghubrah, Muscat•",2,3,46000,104,For Sale
منزل جديد للبيع في السويق منطقة خبة آل خميس,"Suwaiq, Al Batinah•",2,4,32000,625,For Sale
18 SQM Freehold Shop for Sale – Muscat Hills,"Muscat Hills, Muscat•",3,3,47000,18,For Sale
1 BR Off-Plan Apartment with Store Room – Ghala,"Ghala, Muscat•",1,2,45000,91,For Sale
1 BR Furnished Apartment with Stunning Views – Jebel Sifa,"Al Sifah, Muscat•",1,1,60000,59,For Sale
5 BR Stunning Seafront Villa in Sifa – Private Pool,"Al Sifah, Muscat•",5,6,980000,2,For Sale
4 BR Spacious Villa with Pool | Al Ghubra South,"Al Ghubrah, Muscat•",4,4,185000,475,For Sale
5 BR + Maid’s Room Brand New Villa – Al Khoudh 7,"Al Khoud, Muscat•",5,7,143000,378,For Sale
15 SQM Freehold Shop for Sale – Muscat Hills,"Muscat Hills, Muscat•",3,3,39000,15,For Sale
38 SQM Studio Apartment – Hawana Salalah,"Salalah, Dhofar•",3,1,45000,38,For Sale
4 + 1 BR Freehold Prestigious Villa – Sultan Haitham City,"Al Maabilah, Muscat•",4,6,214000,411,For Sale
"6 BR Brand New Villa – Al Muna, Bausher","Bosher, Muscat•",6,7,192000,420,For Sale
3 BR Excellent Penthouse Apartment in Sultan Haitham City with Private,"Al Maabilah, Muscat•",3,4,120000,185,For Sale
3 BR Freehold Offplan Apartment in Sohar,"Sohar, Al Batinah•",3,4,57000,120,For Sale
Freehold 1 BR apartment featuring a balcony in Sultan Haitham City,"Al Maabilah, Muscat•",1,2,62000,95,For Sale
Freehold Spacious Studio Apartment with Balcony - Sultan Haitham City,"Al Maabilah, Muscat•",3,1,46000,72,For Sale
2 BR Charming Fully Furnished Apartment in MGM,"Al Ghubrah, Muscat•",2,2,100000,106,For Sale
2 BR Apartment in Shatti Al Qurum For Sale,"Qurum, Muscat•",2,2,80000,139,For Sale
5 BR Villa with Private Pool & Garden in Muscat Bay,"Barr Al Jissah, Muscat•",5,5,560000,999,For Sale
1 BR Fully Furnished Freehold Apartment in Muscat Bay,"Qantab, Muscat•",1,1,95000,77,For Sale
5 BR Lovely Villa in Amerat,"Muscat - Other, Muscat•",5,6,94000,440,For Sale
3 + 1 BR Luxury Villa for Sale in Al Muna Gardens,"Bosher, Muscat•",3,3,151000,235,For Sale
2 + 1 BR Great Cozy Apartment in Qurum for Sale,"Qurum, Muscat•",2,2,48000,100,For Sale
3 BR + Maid's and Houseboy Room Spacious Villa in Al Mawaleh with Gym,"Al Mawaleh, Muscat•",3,5,290000,1,For Sale
Apartment for sale 1 bhk in Muscat Hills,"Muscat Hills, Muscat•",1,2,59000,74,For Sale
أرض للبيع او الاستثمار أرض سكني بمساحة 1000 متر مربع في ولاية جعلان,"Jalan Bani Buhassan, Al Sharqiya•",3,3,300000,1,For Sale
أرض للبيع قطعة أرض سكني تجاري بمساحة 660 متر مربع في ولاية مصيره,"Masira, Al Sharqiya•",3,3,100000,660,For Sale
أرض للبيع ثلاث مزارع في ولاية بدية - الغبرة,"Bidiya, Al Sharqiya•",3,3,100000,450,For Sale
3 bed room appartment at St. regis. شقة 3 غرف في سانت ريجس,"The Wave (Almouj), Muscat•",3,4,814000,356,For Sale
استراحة ( فيلا ) للبيع في بوشر المسفاة-Villa for sale in Bousher,"Misfah, Muscat•",3,4,95000,600,For Sale
"شقة للبيع في السيفة ج 6- Apartment for Sale – Al Sifah, Block G6","Al Sifah, Muscat•",1,1,65000,91,For Sale
فيلا للبيع في الحيل الشمالية - Villa for Sale in north AlHail,"Al Hail, Muscat•",6,7,140000,305,For Sale
شقة للبيع في بناية السماء الخوير-Apartment for Sale – Al Sama Building,"Al Khuwair, Muscat•",3,4,60000,125,For Sale
Prime Residential & Commercial Building for Sale in Ruwi,"Ruwi, Muscat•",3,3,6000,11,For Sale
SR- MD- 139  1BHK Apartment for Sale – Al Mouj/شقة غرفة وصالة للبيع,"The Wave (Almouj), Muscat•",1,2,175000,95,For Sale
SR- SM- 122 Flat for sale in muscat hills شقة للبيع في مسقط هيلز,"Muscat Hills, Muscat•",1,1,85000,110,For Sale
"""SR-YH- 51 Villa for Sale in South Al Maabelah","Al Maabilah, Muscat•",5,6,105000,300,For Sale
"""SR-NS- 44 Luxurious Villas for Sale in Al Khoud - فيلا للبيع في الخوض","Al Khoud, Muscat•",5,6,137000,420,For Sale
SR-RO- 48 Villa for Sale in Al Khoud - فيلا للبيع في الخوض,"Al Khoud, Muscat•",3,5,165000,500,For Sale
Rare & Unique Beachfront Villa—A Coastal Paradise for the Whole Family,"Al Sifah, Muscat•",5,7,1000,2,For Sale
Villa for Sale in Al Mouj with 6 Bedrooms - فيلا للبيع في الموج,"Muscat - Other, Muscat•",6,8,1000,907,For Sale
للبيع: أرض 600 متر مربع في القريحه - بركاء، موقع مميز,"Barka, Al Batinah•",3,3,11000,600,For Sale
للبيع: أرضان متصلتان في موقع مميز جدًا في منطقة الهرم - بركاء,"Barka, Al Batinah•",3,3,30000,1,For Sale
أرض سكنية للبيع في الغبرة الشمالية، مسقط FSL09,"Al Ghubrah, Muscat•",3,3,105000,566,For Sale
FREE HOLD!! Own a 3BHK Sky Villa at Yenaier - SHC,"Sultan Haitham City, Muscat•",3,4,110000,196,For Sale
FREE HOLD!! Own your 2BHK Sky Residence at Yenaier - SHC,"Sultan Haitham City, Muscat•",2,3,80000,132,For Sale
FREE HOLD!! 1BHK Suites at Yenaier in Sultan Haitham City,"Sultan Haitham City, Muscat•",1,2,62000,95,For Sale
محل للبيع في موقع متميز بمساحة 55 متر مربع في سندان  FSC12,"Nakhl, Al Batinah•",3,3,29000,55,For Sale
"Free Hold!! 1BR Apartment in Jebel Sifah, Solaris - W/ Payment Plan","Al Sifah, Muscat•",1,1,72000,54,For Sale
Free Hold!! 1BHK Apartment For Sale in Golf Links - Al Mouj FSA63,"The Wave (Almouj), Muscat•",1,2,155000,80,For Sale
فيلا فاخرة 6+1 غرف نوم مع أرض واسعة للبيع في المعبيلة FSV67,"Al Maabilah, Muscat•",7,8,260000,656,For Sale
6+1 BHK Brand New Modern Villa Al Amerat For Sale FSV68,"Al Amarat, Muscat•",6,9,205000,520,For Sale
"Own Your Dream Villa in Ghadeer Park, Al Mouj Muscat! FSV52","The Wave (Almouj), Muscat•",3,3,302000,269,For Sale
Free Hold!! Buy in Sultan Haitham City 4+1BHK Semi-Detached Villas!!,"Al Maabilah, Muscat•",4,5,175000,333,For Sale
AL MOUJ | LUXURIOUS 4+1BR UNFURNISHED VILLA WITH PRIVATE POOL FOR SALE,"The Wave (Almouj), Muscat•",5,7,380000,502,For Sale
